time,d1,d2,d3,el1,el2,el3,target_x,target_y,x,y
0.101848316,3.97,1.73,3.84,3.811666302,1.326951393,3.676071272,,,0.9834945057759275,0.9841526995081624
0.152072803,3.97,1.73,3.84,3.811666302,1.326951393,3.676071272,,,0.9834945057759275,0.9841526995081624
0.202411846,3.97,1.73,3.84,3.811666302,1.326951393,3.676071272,,,0.9834945057759275,0.9841526995081624
0.252750982,3.96,1.72,3.87,3.801249794,1.313887362,3.707398009,,,0.9542857146028741,1.003372671047096
0.303049705,3.96,1.72,3.87,3.801249794,1.313887362,3.707398009,,,0.9542857146028741,1.003372671047096
0.353507968,3.96,1.67,3.87,3.801249794,1.247717917,3.707398009,,,0.9356593410182038,0.9940999763712492
0.403774237,3.97,1.67,3.85,3.811666302,1.247717917,3.68651597,,,0.9526263739931622,0.9771444339294963
0.453999383,3.97,1.67,3.85,3.811666302,1.247717917,3.68651597,,,0.9526263739931622,0.9771444339294963
0.504328692,3.97,1.68,3.85,3.811666302,1.261070973,3.68651597,,,0.9563076925140797,0.9789770903236057
0.554472033,3.97,1.68,3.84,3.811666302,1.261070973,3.676071272,,,0.96475824199115,0.9748252986240014
0.604796255,3.97,1.68,3.84,3.811666302,1.261070973,3.676071272,,,0.96475824199115,0.9748252986240014
0.655126874,3.97,1.69,3.86,3.811666302,1.274362586,3.696958209,,,0.9515384617037493,0.9849832778144896
0.705314882,3.96,1.69,3.86,3.801249794,1.274362586,3.696958209,,,0.9515384617037493,0.9936028431859365
0.755738737,3.96,1.69,3.86,3.801249794,1.274362586,3.696958209,,,0.9515384617037493,0.9936028431859365
0.805987927,3.96,1.69,3.85,3.801249794,1.274362586,3.68651597,,,0.9600109893990731,0.9894402534921469
0.856312873,3.93,1.69,3.85,3.769986737,1.274362586,3.68651597,,,0.9600109893990731,1.0151685142779225
0.906683972,3.93,1.69,3.85,3.769986737,1.274362586,3.68651597,,,0.9600109893990731,1.0151685142779225
0.956852907,3.93,1.69,3.85,3.769986737,1.274362586,3.68651597,,,0.9600109893990731,1.0151685142779225
1.006947195,3.93,1.69,3.85,3.769986737,1.274362586,3.68651597,,,0.9600109893990731,1.0151685142779225
1.057085556,3.93,1.69,3.85,3.769986737,1.274362586,3.68651597,,,0.9600109893990731,1.0151685142779225
1.107366052,3.96,1.68,3.87,3.801249794,1.261070973,3.707398009,,,0.939340659539121,0.9959326327653583
1.157499718,3.96,1.68,3.87,3.801249794,1.261070973,3.707398009,,,0.939340659539121,0.9959326327653583
1.20782466,3.96,1.68,3.87,3.801249794,1.261070973,3.707398009,,,0.939340659539121,0.9959326327653583
1.258158265,3.94,1.69,3.85,3.780410031,1.274362586,3.68651597,,,0.9600109893990731,1.0066141658725403
