time,d1,d2,d3,el1,el2,el3,target_x,target_y
0.101500022,3.95,1.77,3.9,3.790831043,1.378695035,3.738702984,,
0.151901528,3.95,1.77,3.9,3.790831043,1.378695035,3.738702984,,
0.202273349,3.95,1.77,3.9,3.790831043,1.378695035,3.738702984,,
0.252358313,3.98,1.69,3.89,3.822080585,1.274362586,3.728270376,,
0.302486797,3.98,1.69,3.89,3.822080585,1.274362586,3.728270376,,
0.352827693,3.98,1.69,3.89,3.822080585,1.274362586,3.728270376,,
0.40316195,3.97,1.73,3.88,3.811666302,1.326951393,3.717835392,,
0.453485424,3.97,1.73,3.88,3.811666302,1.326951393,3.717835392,,
0.503631005,3.97,1.65,3.88,3.811666302,1.220819397,3.717835392,,
0.553967147,3.97,1.65,3.86,3.811666302,1.220819397,3.696958209,,
0.604373496,3.97,1.65,3.86,3.811666302,1.220819397,3.696958209,,
0.654571283,3.97,1.75,3.86,3.811666302,1.352922762,3.696958209,,
0.704902382,3.95,1.75,3.8,3.790831043,1.352922762,3.634267464,,
0.75503177,3.95,1.75,3.8,3.790831043,1.352922762,3.634267464,,
0.805316227,3.95,1.68,3.85,3.790831043,1.261070973,3.68651597,,
0.855630826,3.95,1.68,3.85,3.790831043,1.261070973,3.68651597,,
0.905965329,3.95,1.68,3.85,3.790831043,1.261070973,3.68651597,,
0.956331654,3.95,1.69,3.83,3.790831043,1.274362586,3.665624094,,
1.00643895,3.97,1.69,3.83,3.811666302,1.274362586,3.665624094,,
1.056760253,3.97,1.69,3.83,3.811666302,1.274362586,3.665624094,,
1.106878863,3.99,1.7,3.83,3.832492661,1.287594657,3.665624094,,
1.157017381,3.99,1.7,3.83,3.832492661,1.287594657,3.665624094,,
1.207343269,3.99,1.7,3.83,3.832492661,1.287594657,3.665624094,,
1.257459898,3.97,1.65,3.84,3.811666302,1.220819397,3.676071272,,
1.307783678,3.97,1.65,3.84,3.811666302,1.220819397,3.676071272,,
1.358126659,3.97,1.65,3.84,3.811666302,1.220819397,3.676071272,,
1.408467163,3.94,1.65,3.85,3.780410031,1.220819397,3.68651597,,
1.458797684,3.94,1.65,3.85,3.780410031,1.220819397,3.68651597,,
1.508946837,3.94,1.7,3.85,3.780410031,1.287594657,3.68651597,,
1.559073374,3.97,1.7,3.83,3.811666302,1.287594657,3.665624094,,
1.609305368,3.97,1.7,3.83,3.811666302,1.287594657,3.665624094,,
1.659602305,3.97,1.64,3.83,3.811666302,1.207269647,3.665624094,,
1.709744736,3.95,1.64,3.86,3.790831043,1.207269647,3.696958209,,
1.760158096,3.95,1.64,3.86,3.790831043,1.207269647,3.696958209,,
1.810293932,3.95,1.65,3.86,3.790831043,1.220819397,3.696958209,,
1.860617591,3.95,1.65,3.88,3.790831043,1.220819397,3.717835392,,
1.910959146,3.95,1.65,3.88,3.790831043,1.220819397,3.717835392,,
1.961103132,3.95,1.65,3.82,3.790831043,1.220819397,3.655174414,,
2.011275357,3.96,1.65,3.82,3.801249794,1.220819397,3.655174414,,
2.061565415,3.96,1.65,3.82,3.801249794,1.220819397,3.655174414,,
2.111709251,3.96,1.69,3.93,3.801249794,1.274362586,3.769986737,,
2.162045546,3.96,1.69,3.93,3.801249794,1.274362586,3.769986737,,
