time,d1,d2,d3,el1,el2,el3,target_x,target_y,x,y
2.860942478,4.02,1.81,3.88,3.863715828,1.42968528,3.717835392,,,0.980681319,0.972893526
2.911019051,4.02,1.81,3.88,3.863715828,1.42968528,3.717835392,,,0.980681319,0.972893526
2.961120687,4.02,1.82,3.88,3.863715828,1.442324513,3.717835392,,,0.98467033,0.97487936
3.011272863,4.02,1.82,3.85,3.863715828,1.442324513,3.68651597,1,1,1.010153846,0.962359197
3.061419978,4.02,1.82,3.85,3.863715828,1.442324513,3.68651597,,,1.010153846,0.962359197
3.111540068,3.97,1.77,3.85,3.811666302,1.378695035,3.68651597,,,0.990428571,0.995963354
3.161620023,3.97,1.77,3.9,3.811666302,1.378695035,3.738702984,,,0.947846154,1.016884281
3.211700312,3.97,1.77,3.9,3.811666302,1.378695035,3.738702984,,,0.947846154,1.016884281
3.264360224,4,1.89,3.81,3.842902549,1.529705854,3.644722212,,,1.072362637,0.977458791
3.317360664,4,1.89,3.81,3.842902549,1.529705854,3.644722212,,,1.072362637,0.977458791
3.367438608,4,1.89,3.81,3.842902549,1.529705854,3.644722212,,,1.072362637,0.977458791
3.417513459,4.02,1.78,3.88,3.863715828,1.391509971,3.717835392,,,0.968846154,0.967001672
3.467593306,4.02,1.78,3.88,3.863715828,1.391509971,3.717835392,,,0.968846154,0.967001672
3.517669377,4.02,1.78,3.88,3.863715828,1.391509971,3.717835392,,,0.968846154,0.967001672
3.567746814,3.95,1.89,3.9,3.790831043,1.529705854,3.738702984,,,0.99610989,1.058128619
3.617834362,3.95,1.89,3.9,3.790831043,1.529705854,3.738702984,,,0.99610989,1.058128619
3.667906866,3.95,1.85,3.9,3.790831043,1.48,3.738702984,,,0.97967033,1.049944577
3.717987226,3.97,1.85,3.87,3.811666302,1.48,3.707398009,,,1.005285714,1.020142236
3.768061663,3.97,1.85,3.87,3.811666302,1.48,3.707398009,,,1.005285714,1.020142236
3.818149659,3.97,1.91,3.87,3.811666302,1.554348738,3.707398009,,,1.030076923,1.032483946
3.868267757,3.97,1.91,3.87,3.811666302,1.554348738,3.707398009,,,1.030076923,1.032483946
3.918402827,3.97,1.91,3.87,3.811666302,1.554348738,3.707398009,,,1.030076923,1.032483946
3.968485424,3.97,1.86,3.87,3.811666302,1.492481156,3.707398009,,,1.009362637,1.022171835
4.018562825,3.97,1.86,3.87,3.811666302,1.492481156,3.707398009,,,1.009362637,1.022171835
4.068641362,3.97,1.86,3.87,3.811666302,1.492481156,3.707398009,,,1.009362637,1.022171835
4.11871685,3.95,1.9,3.87,3.790831043,1.542044098,3.707398009,,,1.02589011,1.047617033
4.168795699,3.95,1.9,3.9,3.790831043,1.542044098,3.738702984,,,1.000274725,1.060201983
4.218870539,3.95,1.9,3.9,3.790831043,1.542044098,3.738702984,,,1.000274725,1.060201983
4.268952383,3.94,1.85,3.9,3.780410031,1.48,3.738702984,,,0.97967033,1.058520664
4.319028102,3.94,1.85,3.9,3.780410031,1.48,3.738702984,,,0.97967033,1.058520664
4.369100535,3.94,1.85,3.9,3.780410031,1.48,3.738702984,,,0.97967033,1.058520664
4.419174246,3.98,1.86,3.88,3.822080585,1.492481156,3.717835392,,,1.000846154,1.017714716
4.469261286,3.98,1.86,3.88,3.822080585,1.492481156,3.717835392,,,1.000846154,1.017714716
4.519346384,3.98,1.86,3.88,3.822080585,1.492481156,3.717835392,,,1.000846154,1.017714716
4.569426733,3.96,1.9,3.9,3.801249794,1.542044098,3.738702984,,,1.000274725,1.051604157
4.619500544,3.96,1.9,3.9,3.801249794,1.542044098,3.738702984,,,1.000274725,1.051604157
4.669586335,3.96,1.9,3.9,3.801249794,1.542044098,3.738702984,,,1.000274725,1.051604157
4.719663927,3.91,2.02,3.9,3.749133233,1.68769073,3.738702984,,,1.051967033,1.120109675
4.769742981,3.91,2.02,3.9,3.749133233,1.68769073,3.738702984,,,1.051967033,1.120109675
4.819817731,3.91,1.99,3.9,3.749133233,1.651665826,3.738702984,,,1.038747253,1.113528524
4.869948114,3.9,1.99,3.93,3.738702984,1.651665826,3.769986737,,,1.012934066,1.134699785
4.920022463,3.9,1.99,3.93,3.738702984,1.651665826,3.769986737,,,1.012934066,1.134699785
4.970103087,3.9,1.92,3.93,3.738702984,1.566620567,3.769986737,,,0.982857143,1.119726708
5.020180618,3.87,1.92,3.92,3.707398009,1.566620567,3.759561145,,,0.991483516,1.14082549
5.070260328,3.87,1.92,3.92,3.707398009,1.566620567,3.759561145,,,0.991483516,1.14082549
5.120344479,3.86,2.02,3.92,3.696958209,1.68769073,3.759561145,,,1.03478022,1.170781892
5.170418209,3.86,2.02,3.85,3.696958209,1.68769073,3.68651597,,,1.094549451,1.141417009
5.220493734,3.86,2.02,3.85,3.696958209,1.68769073,3.68651597,,,1.094549451,1.141417009
5.270593225,3.86,2.02,3.85,3.696958209,1.68769073,3.68651597,,,1.094549451,1.141417009
5.320672688,3.86,2.02,3.85,3.696958209,1.68769073,3.68651597,,,1.094549451,1.141417009
5.37074716,3.86,2.02,3.85,3.696958209,1.68769073,3.68651597,,,1.094549451,1.141417009
5.420804472,3.8,1.98,3.96,3.634267464,1.639603611,3.801249794,,,0.98256044,1.229002914
5.470882312,3.8,1.98,3.96,3.634267464,1.639603611,3.801249794,,,0.98256044,1.229002914
5.52095729,3.8,1.98,3.96,3.634267464,1.639603611,3.801249794,,,0.98256044,1.229002914
5.571032065,3.75,2.03,3.98,3.581954774,1.699647022,3.822080585,,,0.987142857,1.28957764
5.621107878,3.75,2.03,3.98,3.581954774,1.699647022,3.822080585,,,0.987142857,1.28957764
5.671183517,3.75,2.03,3.98,3.581954774,1.699647022,3.822080585,,,0.987142857,1.28957764
5.721264972,3.71,2.01,3.95,3.540056497,1.675708805,3.790831043,,,1.004406593,1.304748065
5.77138882,3.71,2.01,3.95,3.540056497,1.675708805,3.790831043,,,1.004406593,1.304748065
5.82146342,3.71,2.01,3.95,3.540056497,1.675708805,3.790831043,,,1.004406593,1.304748065
5.871537897,3.7,1.96,3.96,3.529575045,1.615394689,3.801249794,,,0.973901099,1.306213808
5.921614875,3.7,1.96,3.96,3.529575045,1.615394689,3.801249794,,,0.973901099,1.306213808
5.971692261,3.7,2.03,3.96,3.529575045,1.699647022,3.801249794,,,1.004593407,1.321493239
6.021770552,3.72,2.03,3.99,3.550535171,1.699647022,3.832492661,,,0.978384615,1.318239298
6.07184456,3.72,2.03,3.99,3.550535171,1.699647022,3.832492661,,,0.978384615,1.318239298
6.121931345,3.72,2.01,3.99,3.550535171,1.675708805,3.832492661,,,0.969505495,1.31381904
6.172010075,3.72,2.01,4.03,3.550535171,1.675708805,3.874119255,,,0.934252747,1.331138868
6.222121163,3.72,2.01,4.03,3.550535171,1.675708805,3.874119255,,,0.934252747,1.331138868
6.272193432,3.61,2,4.03,3.435112807,1.663700694,3.874119255,,,0.929846154,1.416586455
6.322319024,3.61,2,3.99,3.435112807,1.663700694,3.832492661,,,0.965098901,1.399266627
6.37239416,3.61,2,3.99,3.435112807,1.663700694,3.832492661,,,0.965098901,1.399266627
6.422469693,3.61,2.13,3.99,3.435112807,1.817910889,3.832492661,,,1.024098901,1.428638366
6.472539376,3.61,2.13,4,3.435112807,1.817910889,3.842902549,,,1.015318681,1.432952126
6.522619204,3.61,2.13,4,3.435112807,1.817910889,3.842902549,,,1.015318681,1.432952126
6.572710859,3.55,2.09,3.96,3.372002372,1.77087549,3.801249794,,,1.031758242,1.453223125
6.622788936,3.55,2.09,3.96,3.372002372,1.77087549,3.801249794,,,1.031758242,1.453223125
6.672858541,3.55,2.09,3.96,3.372002372,1.77087549,3.801249794,,,1.031758242,1.453223125
6.722941425,3.51,2.08,4.01,3.329864862,1.75906225,3.853310265,,,0.983384615,1.503152341
6.77301368,3.51,2.08,4.01,3.329864862,1.75906225,3.853310265,,,0.983384615,1.503152341
6.823091451,3.51,2.08,4.01,3.329864862,1.75906225,3.853310265,,,0.983384615,1.503152341
6.873162092,3.52,2.17,4.04,3.340404167,1.864617923,3.884520562,,,0.998879121,1.529474606
6.92325293,3.52,2.17,4.04,3.340404167,1.864617923,3.884520562,,,0.998879121,1.529474606
6.973358212,3.52,2.17,4.04,3.340404167,1.864617923,3.884520562,,,0.998879121,1.529474606
7.023429462,3.49,2.1,4.1,3.308776209,1.782666542,3.946884848,,,0.912362637,1.562350096
7.073501601,3.49,2.1,4.1,3.308776209,1.782666542,3.946884848,,,0.912362637,1.562350096
7.123573246,3.49,2.2,4.1,3.308776209,1.899447288,3.946884848,,,0.959615385,1.585873746
7.173648314,3.46,2.2,4.09,3.277117636,1.899447288,3.936495904,,,0.968615385,1.60411505
7.223719596,3.46,2.2,4.09,3.277117636,1.899447288,3.936495904,,,0.968615385,1.60411505
7.27379152,3.46,2.24,4.09,3.277117636,1.945636143,3.936495904,,,0.988131868,1.613830865
7.323864912,3.45,2.24,4.02,3.266557821,1.945636143,3.863715828,,,1.050516484,1.590691902
7.373940279,3.45,2.24,4.02,3.266557821,1.945636143,3.863715828,,,1.050516484,1.590691902
7.424010167,3.39,2.22,4.02,3.203123476,1.922576396,3.863715828,,,1.040714286,1.630420807
7.474083821,3.39,2.22,4.13,3.203123476,1.922576396,3.978039718,,,0.942197802,1.678822384
7.524156893,3.39,2.22,4.13,3.203123476,1.922576396,3.978039718,,,0.942197802,1.678822384
7.574228082,3.33,2.26,4.13,3.139554108,1.968628965,3.978039718,,,0.96189011,1.732451816
7.624360489,3.33,2.26,4.07,3.139554108,1.968628965,3.91571194,,,1.015956044,1.705888987
7.674435593,3.33,2.26,4.07,3.139554108,1.968628965,3.91571194,,,1.015956044,1.705888987
7.724504128,3.36,2.25,4.09,3.171356177,1.957140772,3.936495904,,,0.993065934,1.690417606
7.774577737,3.36,2.25,4.09,3.171356177,1.957140772,3.936495904,,,0.993065934,1.690417606
7.82465912,3.36,2.25,4.09,3.171356177,1.957140772,3.936495904,,,0.993065934,1.690417606
7.874734755,3.33,2.27,4.11,3.139554108,1.980101008,3.957271787,,,0.984978022,1.726032537
7.924805981,3.33,2.27,4.11,3.139554108,1.980101008,3.957271787,,,0.984978022,1.726032537
7.974912657,3.33,2.27,4.11,3.139554108,1.980101008,3.957271787,,,0.984978022,1.726032537
8.024979848,3.26,2.32,4.15,3.065207986,2.03722851,3.99879982,,,0.97389011,1.806567033
8.075048317,3.26,2.32,4.15,3.065207986,2.03722851,3.99879982,,,0.97389011,1.806567033
8.125114703,3.26,2.32,4.15,3.065207986,2.03722851,3.99879982,,,0.97389011,1.806567033
8.175186998,3.2,2.37,4.11,3.001316378,2.093991404,3.957271787,,,1.035967033,1.843687936
8.225289985,3.2,2.37,4.11,3.001316378,2.093991404,3.957271787,,,1.035967033,1.843687936
8.275419711,3.2,2.37,4.11,3.001316378,2.093991404,3.957271787,,,1.035967033,1.843687936
8.325490224,3.2,2.37,4.11,3.001316378,2.093991404,3.957271787,,,1.035967033,1.843687936
8.375566485,3.2,2.37,4.11,3.001316378,2.093991404,3.957271787,,,1.035967033,1.843687936
8.425631854,3.2,2.5,4.11,3.001316378,2.240066963,3.957271787,,,1.105538462,1.878322408
8.475698348,3.15,2.5,4.15,2.947948439,2.240066963,3.99879982,,,1.069230769,1.930671405
8.525764953,3.15,2.5,4.15,2.947948439,2.240066963,3.99879982,,,1.069230769,1.930671405
8.57583581,3.15,2.52,4.15,2.947948439,2.262366018,3.99879982,,,1.080263736,1.936163903
8.625926343,3.15,2.52,4.15,2.947948439,2.262366018,3.99879982,,,1.080263736,1.936163903
8.675996639,3.15,2.52,4.15,2.947948439,2.262366018,3.99879982,,,1.080263736,1.936163903
8.726061718,3.07,2.46,4.15,2.862306762,2.195335965,3.99879982,,,1.047428571,1.973904658
8.776136759,3.07,2.46,4.15,2.862306762,2.195335965,3.99879982,,,1.047428571,1.973904658
8.826208156,3.07,2.46,4.15,2.862306762,2.195335965,3.99879982,,,1.047428571,1.973904658
8.876270503,3.04,2.49,4.21,2.830106005,2.228901075,4.061034351,,,1.008626374,2.029033564
8.926343873,3.04,2.49,4.21,2.830106005,2.228901075,4.061034351,,,1.008626374,2.029033564
8.976414738,3.04,2.49,4.21,2.830106005,2.228901075,4.061034351,,,1.008626374,2.029033564
9.026479175,3.07,2.51,4.21,2.862306762,2.25122189,4.061034351,,,1.019615385,2.014580268
9.076544721,3.07,2.51,4.21,2.862306762,2.25122189,4.061034351,,,1.019615385,2.014580268
9.126608655,3.07,2.51,4.21,2.862306762,2.25122189,4.061034351,,,1.019615385,2.014580268
9.176714124,3.06,2.48,4.23,2.85157851,2.217724059,4.081764324,,,0.984615385,2.022167224
9.226778071,3.06,2.48,4.23,2.85157851,2.217724059,4.081764324,,,0.984615385,2.022167224
9.276878355,3.06,2.48,4.23,2.85157851,2.217724059,4.081764324,,,0.984615385,2.022167224
9.326976291,3.03,2.48,4.25,2.81936163,2.217724059,4.102487051,,,0.965978022,2.051182537
9.377045073,3.03,2.48,4.25,2.81936163,2.217724059,4.102487051,,,0.965978022,2.051182537
9.427108277,3.03,2.65,4.25,2.81936163,2.406324999,4.102487051,,,1.061813187,2.098891782
9.477173656,2.99,2.65,4.29,2.776328511,2.406324999,4.143911196,,,1.024274725,2.143508505
9.527238551,2.99,2.65,4.29,2.776328511,2.406324999,4.143911196,,,1.024274725,2.143508505
9.577303143,2.99,2.61,4.29,2.776328511,2.362202362,4.143911196,,,1.001153846,2.131998328
9.627341822,2.97,2.61,4.27,2.754777668,2.362202362,4.123202639,,,1.019967033,2.135711849
9.677421015,2.97,2.61,4.27,2.754777668,2.362202362,4.123202639,,,1.019967033,2.135711849
9.72748463,2.91,2.59,4.27,2.689981413,2.340085469,4.123202639,,,1.008538462,2.168370234
9.777549103,2.91,2.59,4.33,2.689981413,2.340085469,4.185307635,,,0.951835165,2.19622881
9.827612711,2.91,2.59,4.33,2.689981413,2.340085469,4.185307635,,,0.951835165,2.19622881
9.877676782,2.91,2.63,4.33,2.689981413,2.384281863,4.185307635,,,0.97478022,2.207651457
9.927740881,2.91,2.63,4.29,2.689981413,2.384281863,4.143911196,,,1.01267033,2.189035882
9.97782494,2.91,2.63,4.29,2.689981413,2.384281863,4.143911196,,,1.01267033,2.189035882
10.02791109,2.87,2.7,4.33,2.64665827,2.461280155,4.185307635,,,1.01578022,2.253192762
10.07803309,2.87,2.7,4.33,2.64665827,2.461280155,4.185307635,,,1.01578022,2.253192762
10.12811301,2.87,2.7,4.33,2.64665827,2.461280155,4.185307635,,,1.01578022,2.253192762
10.178227,2.89,2.65,4.33,2.668332813,2.406324999,4.185307635,,,0.986384615,2.226037124
10.22834633,2.89,2.65,4.33,2.668332813,2.406324999,4.185307635,,,0.986384615,2.226037124
10.27845312,2.89,2.65,4.33,2.668332813,2.406324999,4.185307635,,,0.986384615,2.226037124
10.32853138,2.83,2.71,4.4,2.603228764,2.472245942,4.257687166,,,0.954571429,2.31392795
10.37863653,2.83,2.71,4.4,2.603228764,2.472245942,4.257687166,,,0.954571429,2.31392795
10.42872134,2.83,2.71,4.4,2.603228764,2.472245942,4.257687166,,,0.954571429,2.31392795
10.47883697,2.79,2.8,4.4,2.559687481,2.570583591,4.257687166,,,1.009065934,2.365491519
10.52895479,2.79,2.8,4.4,2.559687481,2.570583591,4.257687166,,,1.009065934,2.365491519
10.57902756,2.79,2.78,4.4,2.559687481,2.548784024,4.257687166,,,0.996802198,2.359386312
10.62915809,2.76,2.78,4.36,2.526954689,2.548784024,4.216337273,,,1.035307692,2.358566221
10.67928222,2.76,2.78,4.36,2.526954689,2.548784024,4.216337273,,,1.035307692,2.358566221
10.72943225,2.76,2.87,4.36,2.526954689,2.64665827,4.216337273,,,1.091186813,2.386384305
10.77955338,2.72,2.87,4.42,2.483203576,2.64665827,4.278352487,,,1.033296703,2.438652054
10.82967831,2.72,2.87,4.42,2.483203576,2.64665827,4.278352487,,,1.033296703,2.438652054
10.87974835,2.71,2.86,4.42,2.472245942,2.635811071,4.278352487,,,1.027,2.441419565
10.92987105,2.71,2.86,4.4,2.472245942,2.635811071,4.257687166,,,1.046384615,2.431895819
10.97995013,2.71,2.86,4.4,2.472245942,2.635811071,4.257687166,,,1.046384615,2.431895819
11.03002923,2.71,2.93,4.4,2.472245942,2.711604691,4.257687166,,,1.090923077,2.454068227
11.08015089,2.71,2.93,4.5,2.472245942,2.711604691,4.360951731,,,0.993120879,2.502118872
11.13023076,2.71,2.93,4.5,2.472245942,2.711604691,4.360951731,,,0.993120879,2.502118872
11.18030669,2.66,2.91,4.44,2.417333241,2.689981413,4.299011514,,,1.039230769,2.495954013
11.23043375,2.66,2.91,4.44,2.417333241,2.689981413,4.299011514,,,1.039230769,2.495954013
11.28051106,2.66,2.91,4.44,2.417333241,2.689981413,4.299011514,,,1.039230769,2.495954013
11.33059333,2.66,2.91,4.44,2.417333241,2.689981413,4.299011514,,,1.039230769,2.495954013
11.38067119,2.66,2.91,4.44,2.417333241,2.689981413,4.299011514,,,1.039230769,2.495954013
11.43080454,2.66,2.91,4.44,2.417333241,2.689981413,4.299011514,,,1.039230769,2.495954013
11.48093245,2.63,2.98,4.44,2.384281863,2.765556002,4.299011514,,,1.084538462,2.535759365
11.53101056,2.63,2.98,4.44,2.384281863,2.765556002,4.299011514,,,1.084538462,2.535759365
11.58109374,2.63,2.98,4.44,2.384281863,2.765556002,4.299011514,,,1.084538462,2.535759365
11.63120706,2.6,2.94,4.54,2.351148655,2.722407023,4.402215351,,,0.959835165,2.588341854
