split,trajectory,gt_segment,model,constraint_enabled,rmse_x_m,rmse_y_m,rmse_2d_m,mae_x_m,mae_y_m,mae_2d_m,median_error_m,p90_error_m,p95_error_m,max_error_m,pct_below_5cm,pct_below_10cm,pct_below_20cm,pct_below_50cm,n_samples
train,10lup_trilat_gt,P1_to_P1,Raw trilateration,False,0.055829760363567175,0.021243602801390267,0.0597348541660275,0.053958791208791074,0.021215354753941207,0.05829634523446088,0.04820311182169002,0.07511840092241232,0.07511840092241232,0.07511840092241232,62.5,100.0,100.0,100.0,8
train,10lup_trilat_gt,P1_to_P1,EKF only,False,0.0840399412222148,0.05674839526473968,0.10140558212325615,0.08399307825871366,0.05672080568411059,0.10135400325818925,0.10047014940165848,0.10579279040604457,0.10696627456550636,0.10813975872496817,0.0,37.5,100.0,100.0,8
train,10lup_trilat_gt,P1_to_P1,EKF + LSTM residual,False,0.19077328007937597,0.02022793186480569,0.19184267934891663,0.1907045208410229,0.019798566916963523,0.19178578623324055,0.19277275118491516,0.19721428768118449,0.1974663766595946,0.19771846563800471,0.0,0.0,100.0,100.0,8
train,10lup_trilat_gt,P1_to_P1,EKF + LSTM + trajectory constraint,False,0.19077328007937597,0.02022793186480569,0.19184267934891663,0.1907045208410229,0.019798566916963523,0.19178578623324055,0.19277275118491516,0.19721428768118449,0.1974663766595946,0.19771846563800471,0.0,0.0,100.0,100.0,8
train,10lup_trilat_gt,P1_to_P2,Raw trilateration,False,0.15139906370081177,0.05978715291682585,0.16277647294183017,0.12742791978627807,0.045803134660210035,0.14373499572124374,0.1348350236830265,0.25313947462876807,0.286821065691191,0.3808132843268453,9.622501850481125,32.346410066617324,78.01628423390082,100.0,1351
train,10lup_trilat_gt,P1_to_P2,EKF only,False,0.16705305079390334,0.07654174333321792,0.18375353126413288,0.14560986897090294,0.0641321314611897,0.17028020363075472,0.16885693088628353,0.25722587900353827,0.29114032314146865,0.371070662801785,1.4803849000740192,18.134715025906736,64.84085862324204,100.0,1351
train,10lup_trilat_gt,P1_to_P2,EKF + LSTM residual,False,0.09298150406319121,0.026889791317318213,0.09679163690599599,0.0702589996683505,0.019456800419981754,0.07673251838435356,0.059078215721193136,0.1580364443386979,0.19934577273631904,0.27712126860470276,40.34048852701703,72.83493708364175,95.11472982975575,100.0,1351
train,10lup_trilat_gt,P1_to_P2,EKF + LSTM + trajectory constraint,False,0.09298150406319121,0.026889791317318213,0.09679163690599599,0.0702589996683505,0.019456800419981754,0.07673251838435356,0.059078215721193136,0.1580364443386979,0.19934577273631904,0.27712126860470276,40.34048852701703,72.83493708364175,95.11472982975575,100.0,1351
train,10lup_trilat_gt,P2_to_P3,Raw trilateration,False,0.23117074262325701,0.19788402156124146,0.3042991919710567,0.20884716098565387,0.13068399173173476,0.26812005353160345,0.24095124541671514,0.4016965972572284,0.5536869813930453,0.9696756788604449,1.6293279022403258,4.344874405974202,30.278343516632724,93.14324507807196,1473
train,10lup_trilat_gt,P2_to_P3,EKF only,False,0.07975027386835741,0.21889970147702606,0.23297464559219558,0.06311359005680174,0.1556218458458678,0.18123947598983253,0.15841886962700025,0.24760807492656803,0.4455537402013425,0.9815982128363278,4.820095044127631,24.983027834351663,72.09775967413442,95.17990495587237,1473
train,10lup_trilat_gt,P2_to_P3,EKF + LSTM residual,False,0.03313966545397475,0.15631990235447382,0.15979408405355183,0.0263120531732738,0.08769820484000425,0.0974044862916036,0.06458334106673225,0.15252852992346436,0.2748891699811631,0.8569867171705791,36.59198913781398,72.84453496266123,93.55057705363204,96.8092328581127,1473
train,10lup_trilat_gt,P2_to_P3,EKF + LSTM + trajectory constraint,False,0.03313966545397475,0.15631990235447382,0.15979408405355183,0.0263120531732738,0.08769820484000425,0.0974044862916036,0.06458334106673225,0.15252852992346436,0.2748891699811631,0.8569867171705791,36.59198913781398,72.84453496266123,93.55057705363204,96.8092328581127,1473
train,10lup_trilat_gt,P3_to_P4,Raw trilateration,False,0.3638768655879732,0.16198161379514278,0.39830191628688744,0.3158013268420148,0.12412353554768063,0.3476709201080949,0.32084271721330326,0.6184937555023856,0.7821241628801285,1.024949341462949,0.5552128315854411,5.305367057371992,21.838371375694017,83.22023442319556,1621
train,10lup_trilat_gt,P3_to_P4,EKF only,False,0.22691438589630872,0.13918192209252442,0.2661986963981388,0.17479521221349228,0.07208798775444847,0.20666213206761644,0.15967202717172016,0.4117529891444977,0.614183763944882,0.9934480928800262,5.552128315854411,25.169648365206665,63.10919185687847,91.42504626773596,1621
train,10lup_trilat_gt,P3_to_P4,EKF + LSTM residual,False,0.1484317258712313,0.10803710657451876,0.18358647456200658,0.09276682742853953,0.03494617460434458,0.11190781139446791,0.06319405426995028,0.3112080416729131,0.4868130323874354,0.87148893496603,39.1116594694633,73.53485502776064,87.72362739049969,95.61998766193707,1621
train,10lup_trilat_gt,P3_to_P4,EKF + LSTM + trajectory constraint,False,0.1484317258712313,0.10803710657451876,0.18358647456200658,0.09276682742853953,0.03494617460434458,0.11190781139446791,0.06319405426995028,0.3112080416729131,0.4868130323874354,0.87148893496603,39.1116594694633,73.53485502776064,87.72362739049969,95.61998766193707,1621
train,10lup_trilat_gt,P4_to_P1,Raw trilateration,False,0.05339157408900204,0.19988812309302445,0.2068959205430438,0.039810819060819076,0.17733300460170467,0.18798834294132621,0.18692928722433966,0.3066646298274744,0.3232156581718656,0.41470575307373314,4.72972972972973,19.744744744744743,56.08108108108109,100.0,1332
train,10lup_trilat_gt,P4_to_P1,EKF only,False,0.04122565264544531,0.14000666836220405,0.14595006550847142,0.02486528704149871,0.11621739659629261,0.12634034063482585,0.1174823004831031,0.23060234313294115,0.27701341384372136,0.3108324400509223,15.315315315315313,37.687687687687685,83.1081081081081,100.0,1332
train,10lup_trilat_gt,P4_to_P1,EKF + LSTM residual,False,0.02844190266851749,0.08593058190412099,0.09051522929201619,0.018007365149026754,0.0695084917625432,0.07595404310791584,0.07054498925860919,0.1443361262989491,0.1707497061525504,0.20902495432358092,37.91291291291291,68.31831831831832,99.84984984984985,100.0,1332
