track,split,tau0_median_cm,best_tau_s,best_median_cm,improvement_cm
L1,train,12.329433500951398,0.0,12.329433500951398,0.0
L2,train,15.698972502612285,-0.5,13.579232455210802,2.1197400474014834
L3,test,19.441552202497185,-1.0,9.36613899200519,10.075413210491996
segitiga1,train,13.09338640738542,-0.25,12.86131017347056,0.2320762339148602
segitiga2,train,11.393269585860828,-0.25,11.381511926617113,0.011757659243714913
segitiga3,test,12.837030260214139,0.0,12.837030260214139,0.0
