pattern,method,rmse_cm,mae_cm,median_cm,p90_cm,p95_cm,max_cm,pct_below_3cm,pct_below_5cm,pct_below_10cm,pct_below_20cm
Pola L,1. Raw trilateration,22.495170647628203,19.49200787936439,19.328751857735945,33.245693019355656,37.970955346238675,67.74524817158651,4.554812146165723,10.113226968605249,24.369531652084405,51.85280494081318
Pola L,2. Calibrated-raw multilat,20.240180396035942,18.20399142368626,17.460928194389997,29.777531299405357,32.64402607273287,53.635978924329606,1.4282038085434894,4.413278435409161,19.82758620689655,59.44415851775605
Pola L,3. EKF (guarded),18.114293891436432,14.932179009831472,12.22461382402224,29.410413455443862,32.922172252991615,73.66670926700274,6.600617601646938,16.353576942871847,41.17344312918168,71.03705609881627
Pola L,4. EKF + offline smoother,18.064556059163404,14.9005902607146,12.229311495314699,29.377971481916536,32.83402576383986,68.16811518617713,6.664951106536283,16.379310344827587,41.392177045805454,70.99845599588267
Pola L,5. EKF + LSTM residual,11.711630213577989,9.705459533981516,8.393235420359803,17.17815584288948,19.796900376763197,66.16450805795239,8.929490478641275,22.555326814204836,59.907359752959344,95.23932063818837
Pola L,6. EKF + LSTM + constraint,10.984353618944223,8.810808853290848,7.638142723839758,16.767449238451217,19.418720060102217,50.28005021163216,17.987647967061246,32.501286670097784,63.41996911991765,95.79258878023674
Segitiga,1. Raw trilateration,18.242387415191473,15.09733897299593,12.937882346713725,29.577743872930935,33.96815868452713,63.456609839334,5.996021597044615,15.146348394430238,38.20687695368002,72.81898266552999
Segitiga,2. Calibrated-raw multilat,14.291826796922678,12.183371264734602,10.617806432090108,23.456731228793952,27.024866234239497,42.05083532380819,6.606990622335891,16.254617789144643,46.91673770957658,83.57487922705315
Segitiga,3. EKF (guarded),13.68882925020389,11.566405821794461,9.99788918883094,22.38820882859326,25.340503805264238,37.96020956951961,8.127308894572321,19.906223358908782,50.028417163967035,84.7257743677181
Segitiga,4. EKF + offline smoother,13.686057280177803,11.53575242618723,9.95235110095097,22.35450906542214,25.345694572710897,62.23262672673048,7.885763000852515,20.233020744529696,50.28417163967036,84.7257743677181
Segitiga,5. EKF + LSTM residual,12.47919832158107,9.890433865700057,7.690952745812971,21.911354317170815,25.090203699073914,37.833496400452624,17.973856209150327,32.62290423415743,62.53196930946292,86.53026427962489
Segitiga,6. EKF + LSTM + constraint,12.330064828433661,9.541952268009084,7.438255415523824,21.827101816706772,24.978947447012782,37.76838716630127,22.44955953395851,34.654731457800516,63.68286445012787,86.72918442739415
Kotak 10-loop,1. Raw trilateration,24.949510268827325,21.925334617212407,21.161435682303537,36.11457826503132,42.64242616092835,96.48634945653706,2.1679541490156993,4.971343134811861,16.34687266384251,45.82606528781461
Kotak 10-loop,2. Calibrated-raw multilat,18.49087961010349,16.354306843327738,15.47863550512743,27.498471779417233,30.68798872807402,68.50281285000612,1.7692499377024669,7.089459257413407,27.51059058061301,66.8950909543982
Kotak 10-loop,3. EKF (guarded),17.13953911365381,15.197735783320635,14.900576837902166,25.50378606725753,29.27749709882454,41.93582804887563,3.8998255669075506,10.05482182905557,30.363817592823324,72.2651383005233
Kotak 10-loop,4. EKF + offline smoother,17.070658468469976,15.128924163523678,14.754684946345117,25.36617148736118,29.21253196236002,62.862619395019124,3.787690007475704,10.216795414901569,30.575629205083477,72.78843757787192
Kotak 10-loop,5. EKF + LSTM residual,11.627098653995695,9.887689796637083,8.919536155285263,18.588571154655554,21.552198722456225,31.97398922031049,10.490904560179416,23.06254672314976,56.553700473461255,93.4338400199352
Kotak 10-loop,6. EKF + LSTM + constraint,11.627098653995695,9.887689796637083,8.919536155285263,18.588571154655554,21.552198722456225,31.97398922031049,10.490904560179416,23.06254672314976,56.553700473461255,93.4338400199352
