pattern,method,metric,rmse_cm,mae_cm,median_cm,p90_cm,p95_cm,pct_below_3cm,pct_below_5cm,pct_below_10cm
Pola L,Raw trilateration,2D vs GT,22.495170647628207,19.492007879364387,19.328751857735945,33.24569301935565,37.970955346238675,4.554812146165723,10.113226968605249,24.369531652084405
Pola L,Raw trilateration,cross-track to path,4.714906480743455,3.2782317750320593,2.5610128999999926,6.5545656688922245,8.256203445000004,57.08955223880597,78.96294390118373,97.41379310344827
Pola L,EKF (guarded),2D vs GT,18.114293891436432,14.932179009831472,12.224613824022242,29.410413455443862,32.922172252991615,6.600617601646938,16.353576942871847,41.17344312918168
Pola L,EKF (guarded),cross-track to path,4.457466873300492,3.197104754455909,2.4597610678345094,6.827531337647974,8.975266790449913,58.9166237776634,80.75141533710757,96.4359238291302
Pola L,EKF + LSTM,2D vs GT,11.711630213577987,9.705459533981518,8.393235420359803,17.17815584288948,19.796900376763197,8.929490478641275,22.555326814204836,59.907359752959344
Pola L,EKF + LSTM,cross-track to path,3.4752830953692997,2.5864692443678474,2.1731440628180607,4.779988947097215,6.095455744090956,67.20277920741123,91.16057642820381,98.39166237776634
Pola L,EKF + LSTM + current constraint,2D vs GT,10.984353618944223,8.81080885329085,7.638142723839758,16.76744923845122,19.418720060102217,17.987647967061246,32.501286670097784,63.41996911991765
Pola L,EKF + LSTM + current constraint,cross-track to path,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0
Pola L,MAP-MATCHED (project+smooth) [demo],2D vs GT,11.083001520847782,8.861236639957058,7.626967234400761,16.854017100159453,19.578310942461094,17.93618116314977,32.46268656716418,63.41996911991765
Pola L,MAP-MATCHED (project+smooth) [demo],cross-track to path,1.3928280076047992,0.07545998767993203,2.220446049250313e-14,2.220446049250313e-14,2.220446049250313e-14,99.63973237261966,99.80699948533196,99.89706639217705
Segitiga,Raw trilateration,2D vs GT,18.24238741519147,15.097338972995932,12.937882346713726,29.57774387293093,33.96815868452714,5.996021597044615,15.146348394430238,38.20687695368002
Segitiga,Raw trilateration,cross-track to path,5.616473049319159,4.3455092074993,3.6263735860449953,9.146751930480729,11.206289241516146,43.08042057402671,65.1179312304632,92.45524296675191
Segitiga,EKF (guarded),2D vs GT,13.68882925020389,11.566405821794461,9.99788918883094,22.388208828593257,25.340503805264234,8.127308894572321,19.906223358908782,50.028417163967035
Segitiga,EKF (guarded),cross-track to path,3.4519107738675743,2.812877708631085,2.518738718300051,5.743379293051674,6.6119645567146295,59.42028985507246,84.7257743677181,99.97158283603297
Segitiga,EKF + LSTM,2D vs GT,12.479198321581071,9.890433865700055,7.690952745812972,21.91135431717081,25.090203699073918,17.973856209150327,32.62290423415743,62.53196930946292
Segitiga,EKF + LSTM,cross-track to path,2.1115394543000297,1.6729501758731338,1.3937724761985848,3.386052510609609,4.101096161541695,84.85365160556977,98.01079852230747,100.0
Segitiga,EKF + LSTM + current constraint,2D vs GT,12.33006482843366,9.541952268009082,7.438255415523824,21.827101816706776,24.978947447012782,22.44955953395851,34.654731457800516,63.68286445012787
Segitiga,EKF + LSTM + current constraint,cross-track to path,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0
Segitiga,MAP-MATCHED (project+smooth) [demo],2D vs GT,12.23242882510039,9.447759779371252,7.395973795525094,21.52562942021447,24.67631424065417,22.208013640238704,35.464620630861035,64.83375959079284
Segitiga,MAP-MATCHED (project+smooth) [demo],cross-track to path,1.4893939222843675,0.12417690540496028,0.0,2.220446049250313e-14,2.220446049250313e-14,98.93435635123615,99.81528843421427,99.88633134413185
Kotak 10-loop,Raw trilateration,2D vs GT,24.949510268827325,21.925334617212407,21.161435682303534,36.11457826503132,42.64242616092835,2.1679541490156993,4.971343134811861,16.34687266384251
Kotak 10-loop,Raw trilateration,cross-track to path,15.631988848981308,10.539770566258191,6.199214046822821,25.246153846153874,33.356944095267465,27.909294791926243,42.78594567655121,63.9172688761525
Kotak 10-loop,EKF (guarded),2D vs GT,17.139539113653807,15.197735783320637,14.900576837902166,25.50378606725753,29.27749709882454,3.8998255669075506,10.05482182905557,30.363817592823324
Kotak 10-loop,EKF (guarded),cross-track to path,6.979713198109667,5.333877095400255,4.436772617896212,10.409192783131193,13.453958957240175,35.44729628706703,55.23299277348617,88.76152504360827
Kotak 10-loop,EKF + LSTM,2D vs GT,11.627098653995695,9.887689796637085,8.919536155285261,18.588571154655554,21.552198722456225,10.490904560179416,23.06254672314976,56.553700473461255
Kotak 10-loop,EKF + LSTM,cross-track to path,4.130685019868657,2.7774980272461782,1.821534626403215,6.4413299972355675,8.583881987490628,69.32469474208821,84.22626463992026,96.86020433590829
Kotak 10-loop,EKF + LSTM + current constraint,2D vs GT,11.627098653995695,9.887689796637085,8.919536155285261,18.588571154655554,21.552198722456225,10.490904560179416,23.06254672314976,56.553700473461255
Kotak 10-loop,EKF + LSTM + current constraint,cross-track to path,4.130685019868657,2.7774980272461782,1.821534626403215,6.4413299972355675,8.583881987490628,69.32469474208821,84.22626463992026,96.86020433590829
Kotak 10-loop,MAP-MATCHED (project+smooth) [demo],2D vs GT,10.82834226348298,8.856756404797716,7.684115056285268,17.556327712218803,20.393395774557266,18.290555693994516,31.9087964116621,61.52504360827311
Kotak 10-loop,MAP-MATCHED (project+smooth) [demo],cross-track to path,1.1906231599086048,0.08707277086677119,2.220446049250313e-14,2.220446049250313e-14,2.220446049250313e-14,99.56391726887615,99.81310740094692,99.90032394717169
