point,true_x,true_y,global_bias1_cm,global_bias2_cm,global_bias3_cm,accuracy_after_globalcal_cm,rmse_after_globalcal_cm
1,1.0,1.0,0.9726886217858518,-3.211986751793757,-1.1052723782446614,1.0160182358287904,2.583411555843356
2,3.0,1.0,0.8666294349513529,-4.459689000945502,-1.0400582255163457,5.0069985533806385,6.055152491205949
3,3.0,3.0,1.8386648336110996,-2.9448904871916133,-0.9752856231675119,1.7410357085179946,3.446254635191312
4,1.0,3.0,1.1946674501026413,-0.8354283532494048,0.23112031968610855,6.8585167311667705,7.634286476203697
5,2.0,2.0,1.824792502141544,-3.3311222204833437,-1.3913322862304975,3.012118804496191,4.604414566996783
