file,point,true_x,true_y,n,gdop,pos_mean_x,pos_mean_y,accuracy_cm,precision_cm,rmse_static_cm,bias1_cm,rangestd1_cm,bias2_cm,rangestd2_cm,bias3_cm,rangestd3_cm
s2_1_1.csv,1,1.0,1.0,2407,1.2418365224375696,0.9923479686080433,0.9740855948597921,2.7020547333359586,2.193560348917387,3.4803457854480238,2.693098295868035,1.4307073913678046,-2.4450010125305788,4.386521499128673,0.03882206530607668,1.1687000144683162
s2_1_2.csv,1,1.0,1.0,2389,1.2418365224375696,0.9928423129821201,0.972112709000101,2.879120495496795,2.6059026933796603,3.883305766348186,3.1973890735053967,1.9160921874384955,-1.6345448377887983,4.84111472938319,0.2890147137859511,1.3670078114129738
s2_1_3.csv,1,1.0,1.0,2395,1.2418365224375696,0.9940396292642637,0.9767301805102401,2.402104324115488,2.250233062784594,3.291451658582159,2.529577696973817,1.5905268092226108,-1.7259635691464048,3.6772422698965945,0.0929471794251846,1.4660110147068497
s2_2_1.csv,2,3.0,1.0,2435,1.1940775436489446,3.022262499717941,0.9851527665210424,2.67592831680894,2.886306691549322,3.9359063345539886,3.0289879935983866,2.033552429637994,2.946932726597229,2.758667190097579,-0.4103878175453435,2.3327773286096196
s2_2_2.csv,2,3.0,1.0,2387,1.1940775436489446,3.0242224227385512,0.985770918002054,2.8092570865432664,3.4058574991889015,4.4149508132112665,3.259778364460786,1.854055352813259,3.43225783151504,3.663750854121004,-0.037311615312507485,2.340290017986634
s2_2_3.csv,2,3.0,1.0,2393,1.1940775436489446,3.019243861445699,0.982619091317665,2.5931104680767705,3.759834811031765,4.567338361222626,3.404008950302062,1.9363819260550665,2.787727012242902,4.166594076773443,0.0859135586352755,2.3133363363719917
s2_3_1.csv,3,3.0,3.0,2402,1.2943372667988606,2.9853974663970497,2.98928320563609,1.8113080054580126,3.066393056785698,3.5614046483571333,-0.48665263580238705,2.1199969464516757,-2.1500131494230246,2.626347635581706,-0.7205240339836383,1.4464380139513666
s2_3_2.csv,3,3.0,3.0,2402,1.2943372667988606,2.980860144019178,2.9914302837299545,2.0970792162331,2.8350729187717203,3.5263833730764147,-0.63788062741581,1.6544956488715055,-2.222677839189391,2.4035660148566658,-0.2016539774317927,1.6082095389337667
s2_3_3.csv,3,3.0,3.0,2399,1.2943372667988606,2.958608408265349,2.9810515793330032,4.552259342460071,2.932952878008119,5.4152818676068275,-0.8471162123375287,1.7577081501170735,-4.637973606079093,2.21967730210241,-0.2168790909931495,2.011006781168775
s2_4_1.csv,4,1.0,3.0,2397,1.2321935561257635,0.972439143251408,2.92623336456763,7.87471734586618,3.5917848106464145,8.65517714453472,1.8869492419611333,1.5751075852127927,-11.7055888421981,2.9297098786225266,-5.144199261419935,2.409774193664981
s2_4_2.csv,4,1.0,3.0,2389,1.2321935561257635,0.9760545816678086,2.9268761457344405,7.694466272428794,3.226624468793972,8.343615324316188,1.9346849422923196,1.6994738193444419,-11.309310679899953,3.108363547544173,-5.235864577616045,1.909625824398533
s2_4_3.csv,4,1.0,3.0,2389,1.2321935561257635,0.9760545816678086,2.9268761457344405,7.694466272428794,3.226624468793972,8.343615324316188,1.9346849422923196,1.6994738193444419,-11.309310679899953,3.108363547544173,-5.235864577616045,1.909625824398533
s2_5_1.csv,5,2.0,2.0,2392,1.195363509730691,1.9862046335771246,2.004295700092041,1.4448708385947855,3.089504511546882,3.410672934640624,-0.49278999977571125,1.8754231445648657,-0.8706488082348862,3.1048905239064686,1.1819066486689067,2.4108591777690327
s2_5_2.csv,5,2.0,2.0,2396,1.195363509730691,1.9787788667926394,2.002600923411531,2.1379927436668114,3.3575720006461496,3.9804902601934504,-0.9267309219426423,1.7786100236061677,-2.1467515031118545,3.096114500467477,1.1123286439779,2.9558608495306347
s2_5_3.csv,5,2.0,2.0,3181,1.195363509730691,1.9804314283641533,2.0035453019698752,1.9887135588738385,3.916028791183146,4.392068204459477,-0.38566057620270655,2.283812551773164,-1.3584834838439974,3.4810894591935133,1.5592675617004392,3.627215221188689
