track,median_speed_mps,timing_jitter_s,gt_uncertainty_cm
L1,0.18641822107171616,0.25,4.660455526792904
L1,0.18641822107171616,0.5,9.320911053585808
L1,0.18641822107171616,1.0,18.641822107171617
L2,0.1974882962249291,0.25,4.937207405623227
L2,0.1974882962249291,0.5,9.874414811246455
L2,0.1974882962249291,1.0,19.74882962249291
L3,0.20845130523184752,0.25,5.2112826307961875
L3,0.20845130523184752,0.5,10.422565261592375
L3,0.20845130523184752,1.0,20.84513052318475
segitiga1,0.1845972340450734,0.25,4.614930851126835
segitiga1,0.1845972340450734,0.5,9.22986170225367
segitiga1,0.1845972340450734,1.0,18.45972340450734
segitiga3,0.19795906594302906,0.25,4.9489766485757265
segitiga3,0.19795906594302906,0.5,9.897953297151453
segitiga3,0.19795906594302906,1.0,19.795906594302906
