time,d1,d2,d3,t_uwb_1,t_uwb_2,t_uwb_3,el1,el2,el3,x,y,x_kf,y_kf,x_true,y_true,vx,vy,vx_smooth,vy_smooth
0.208384565,6.42,1.55,9.81,0.140407827,0.010716579,0.126521181,6.33845407,1.167090399,9.756828378,0.855519849,1.125851095,0.8613079,1.131224067,1.012169259,1,-0.009391587,-0.029285917,-0.009398216,-0.028917126
0.213476726,6.44,1.55,9.81,0.001863743,0.01580874,0.131613342,6.358710561,1.167090399,9.756828378,0.855519849,1.100233565,0.861260179,1.130971453,1.012666497,1,-0.009277304,-0.049114798,-0.002137107,-0.045000373
0.218594738,6.44,1.55,9.81,0.006981755,0.020926752,0.136731354,6.358710561,1.167090399,9.756828378,0.855519849,1.100233565,0.861213182,1.130722622,1.013166259,1,-0.009135767,-0.048374595,0.012167509,-0.069162857
0.223687764,6.44,1.55,9.81,0.012074781,0.026019778,0.14182438,6.358710561,1.167090399,9.756828378,0.855519849,1.100233565,0.861166891,1.130477486,1.013663581,1,0.026614323,-0.08941238,0.026333087,-0.088983454
0.228851096,6.44,1.55,9.76,0.017238113,0.03118311,0.003437123,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.861491203,1.129799732,1.014167768,1,0.062027879,-0.129626597,0.040427296,-0.104736598
0.234069659,6.44,1.55,9.76,0.022456676,0.036401673,0.008655686,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.861810771,1.129131898,1.014677349,1,0.061436303,-0.128388898,0.054316703,-0.120268662
0.239179532,6.44,1.55,9.76,0.027566549,0.041511546,0.013765559,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.862125701,1.128473765,1.015176316,1,0.061193742,-0.127880519,0.060855705,-0.127174148
0.244288402,6.44,1.55,9.76,0.032675419,0.046620416,0.018874429,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.862436095,1.127825118,1.015675185,1,0.060311268,-0.126034916,0.060113998,-0.125622783
0.249399092,6.44,1.55,9.76,0.037786109,0.051731106,0.023985119,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.862742054,1.127185747,1.016174232,1,0.059309332,-0.123939812,0.05927595,-0.123870109
0.254533063,6.44,1.55,9.76,0.04292008,0.056865077,0.02911909,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.863043673,1.126555451,1.016675552,1,0.058319345,-0.121869772,0.058261049,-0.121747942
0.259670051,6.44,1.55,9.76,0.048057068,0.062002065,0.034256078,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.863341047,1.125934033,1.017177167,1,0.057246063,-0.119625525,0.057107721,-0.119336617
0.264850812,6.44,1.55,9.76,0.053237829,0.067182826,0.039436839,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.863634267,1.125321303,1.017683057,1,0.056119239,-0.117269682,0.056078644,-0.117184957
0.270047767,6.44,1.55,9.76,0.058434784,0.072379781,0.044633794,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.863923421,1.124717074,1.018190527,1,0.054544627,-0.113978294,0.055309,-0.115575451
0.275386068,6.44,1.55,9.76,0.063773085,0.077718082,0.049972095,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.864208595,1.124121168,1.0187118,1,0.054163948,-0.113181514,0.054594083,-0.114080362
0.280511611,6.44,1.55,9.76,0.068898628,0.082843625,0.055097638,6.358710561,1.167090399,9.706554487,0.90176276,1.045700092,0.864489874,1.123533408,1.019212297,1,0.054471123,-0.113822238,0.053806195,-0.112432844
