time,d1,d2,d3,t_uwb_1,t_uwb_2,t_uwb_3,el1,el2,el3,x,y,x_kf,y_kf,x_true,y_true
0.286376332,6.42,1.48,9.56,0.018553928,0.046121938,0.032203729,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.137283677,0.736800995,1.025347506,1
0.291486795,6.42,1.48,9.56,0.023664391,0.051232401,0.037314192,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.136796196,0.737652092,1.026165168,1
0.296642396,6.42,1.48,9.56,0.028819992,0.056388002,0.042469793,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.136315596,0.738491174,1.026982829,1
0.301801836,6.42,1.48,9.56,0.033979432,0.061547442,0.047629233,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.135841728,0.739318499,1.027800491,1
0.307111903,6.42,1.48,9.56,0.039289499,0.066857509,0.0529393,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.135374448,0.74013432,1.028618152,1
0.312253738,6.42,1.48,9.56,0.044431334,0.071999344,0.058081135,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.134913617,0.74093888,1.029435814,1
0.317387971,6.42,1.48,9.56,0.049565567,0.077133577,0.063215368,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.134459099,0.741732418,1.030253475,1
0.322480765,6.42,1.48,9.56,0.054658361,0.082226371,0.068308162,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.134010762,0.742515163,1.031071137,1
0.32762422,6.42,1.48,9.56,0.059801816,0.087369826,0.073451617,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.133568477,0.743287339,1.031888798,1
0.332719004,6.42,1.48,9.56,0.0648966,0.09246461,0.078546401,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.133132119,0.744049166,1.03270646,1
0.337837882,6.42,1.48,9.56,0.070015478,0.097583488,0.083665279,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.132701568,0.744800855,1.033524121,1
0.343094205,6.42,1.48,9.56,0.075271801,0.102839811,0.088921602,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.132276703,0.745542613,1.034341783,1
0.348215987,6.42,1.48,9.56,0.080393583,0.107961593,0.094043384,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.131857412,0.74627464,1.035159444,1
0.353514099,6.42,1.48,9.56,0.085691695,0.113259705,0.099341496,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.131443581,0.746997132,1.035977105,1
0.358847829,6.42,1.48,9.56,0.091025425,0.118593435,0.104675226,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.131035103,0.747710278,1.036794767,1
0.36419015,6.42,1.48,9.56,0.096367746,0.123935756,0.110017547,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.13063187,0.748414265,1.037612428,1
0.369537349,6.42,1.48,9.56,0.101714945,0.129282955,0.115364746,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.13023378,0.749109272,1.03843009,1
0.374677045,6.42,1.48,9.56,0.106854641,0.134422651,0.120504442,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.129840732,0.749795474,1.039247751,1
0.379771849,6.42,1.48,9.56,0.111949445,0.139517455,0.125599246,6.317974359,0.943822017,9.491785923,1.074347826,0.846665512,1.129452629,0.750473043,1.040065413,1
0.384853785,6.42,1.46,9.56,0.117031381,0.00059282,0.130681182,6.317974359,0.91214034,9.491785923,1.071568998,0.844085962,1.129050289,0.751124428,1.040883074,1
0.389969607,6.42,1.46,9.56,0.122147203,0.005708642,0.135797004,6.317974359,0.91214034,9.491785923,1.071568998,0.844085962,1.128652938,0.751767725,1.041700736,1
0.395099256,6.42,1.46,9.56,0.127276852,0.010838291,0.140926653,6.317974359,0.91214034,9.491785923,1.071568998,0.844085962,1.128260481,0.752403089,1.042518397,1
0.400231657,6.42,1.46,9.47,0.132409253,0.015970692,0.002369728,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.128427008,0.752377132,1.043336059,1
0.405565993,6.42,1.46,9.47,0.137743589,0.021305028,0.007704064,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.128591501,0.752351494,1.04415372,1
0.410653422,6.42,1.46,9.47,0.142831018,0.026392457,0.012791493,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.128753999,0.752326168,1.044971382,1
0.415890198,6.42,1.46,9.47,0.003722955,0.031629233,0.018028269,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.128914538,0.752301148,1.045789043,1
0.42101568,6.42,1.46,9.47,0.008848437,0.036754715,0.023153751,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.129073154,0.752276428,1.046606705,1
0.42613994,6.42,1.46,9.47,0.013972697,0.041878975,0.028278011,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.129229884,0.752252003,1.047424366,1
0.431280175,6.42,1.46,9.47,0.019112932,0.04701921,0.033418246,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.129384761,0.752227868,1.048242028,1
0.436655879,6.42,1.46,9.47,0.024488636,0.052394914,0.03879395,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.12953782,0.752204018,1.049059689,1
0.441799429,6.42,1.46,9.47,0.029632186,0.057538464,0.0439375,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.129689092,0.752180446,1.049877351,1
0.447131188,6.42,1.46,9.47,0.034963945,0.062870223,0.049269259,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.129838611,0.752157149,1.050695012,1
0.452243845,6.42,1.46,9.47,0.040076602,0.06798288,0.054381916,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.129986407,0.75213412,1.051512674,1
0.457580441,6.42,1.46,9.47,0.045413198,0.073319476,0.059718512,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.130132512,0.752111357,1.052330335,1
0.462829249,6.42,1.46,9.47,0.050662006,0.078568284,0.06496732,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.130276953,0.752088853,1.053147997,1
0.467947912,6.42,1.46,9.47,0.055780669,0.083686947,0.070085983,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.130419762,0.752066604,1.053965658,1
0.473282948,6.42,1.46,9.47,0.061115705,0.089021983,0.075421019,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.130560967,0.752044606,1.05478332,1
0.478422864,6.42,1.46,9.47,0.066255621,0.094161899,0.080560935,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.130700594,0.752022854,1.055600981,1
0.483544743,6.42,1.46,9.47,0.0713775,0.099283778,0.085682814,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.130838671,0.752001344,1.056418643,1
0.488883914,6.42,1.46,9.47,0.076716671,0.104622949,0.091021985,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.130975226,0.751980073,1.057236304,1
0.493994532,6.42,1.46,9.47,0.081827289,0.109733567,0.096132603,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.131110283,0.751959035,1.058053966,1
0.499080892,6.42,1.46,9.47,0.086913649,0.114819927,0.101218963,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.131243868,0.751938227,1.058871627,1
0.504214793,6.42,1.46,9.47,0.09204755,0.119953828,0.106352864,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.131376005,0.751917646,1.059689289,1
0.509565356,6.42,1.46,9.47,0.097398113,0.125304391,0.111703427,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.13150672,0.751897286,1.06050695,1
0.514893672,6.42,1.46,9.47,0.102726429,0.130632707,0.117031743,6.317974359,0.91214034,9.40113291,1.152509452,0.748634272,1.131636035,0.751877146,1.061324612,1
