time,d1,d2,d3,t_uwb_1,t_uwb_2,t_uwb_3,el1,el2,el3,x,y
0.1515188309999757,3.97,1.72,3.98,0.0310077069998442,0.0169580349997886,0.044794357000228,3.811666302288278,1.3138873619911258,3.8220805852310336,0.8593956043956043,1.0413730291447685
0.20186638999985,3.97,1.72,3.98,0.0813552659997185,0.0673055939996629,0.0951419160001023,3.811666302288278,1.3138873619911258,3.8220805852310336,0.8593956043956043,1.0413730291447685
0.2521985039998071,3.97,1.72,4.0,0.1316873799996756,0.11763770799962,0.0015213849997053,3.811666302288278,1.3138873619911258,3.842902548855487,0.841857142857143,1.0499897515527954
0.3025295070001448,3.95,1.66,4.0,0.037925732000076,0.0239083350002147,0.0518523880000429,3.7908310434520818,1.2343014218577242,3.842902548855487,0.8195714285714287,1.0561127329192543
0.3526689899999837,3.95,1.66,4.0,0.088065214999915,0.0740478180000536,0.1019918709998819,3.7908310434520818,1.2343014218577242,3.842902548855487,0.8195714285714287,1.0561127329192543
0.4027912930000639,3.95,1.66,4.03,0.1381875179999951,0.1241701210001338,0.0081428290000076,3.7908310434520818,1.2343014218577242,3.874119254746813,0.7930989010989008,1.069118800764453
0.4529449159999785,3.95,1.72,4.03,0.0445540780001465,0.0304478170000948,0.0582964519999222,3.7908310434520818,1.3138873619911258,3.874119254746813,0.8153846153846152,1.080213210702341
0.5030486870000459,3.95,1.72,4.03,0.0946578490002139,0.0805515880001621,0.1084002229999896,3.7908310434520818,1.3138873619911258,3.874119254746813,0.8153846153846152,1.080213210702341
0.553131441000005,3.94,1.72,3.99,0.0005759700002272,0.1306343420001212,0.0145051469999089,3.780410030671276,1.3138873619911258,3.8324926614411146,0.8506373626373627,1.071469469660774
0.6034761760001857,3.94,1.74,3.99,0.0509207050004079,0.0370107250000728,0.0648498820000895,3.780410030671276,1.3399626860476377,3.8324926614411146,0.8582417582417584,1.0752551361681797
0.6538028979998671,3.94,1.74,3.99,0.1012474270000893,0.0873374469997543,0.115176603999771,3.780410030671276,1.3399626860476377,3.8324926614411146,0.8582417582417584,1.0752551361681797
0.7041327769998134,3.94,1.74,3.99,0.1515773060000356,0.1376673259997005,0.1655064829997172,3.780410030671276,1.3399626860476377,3.8324926614411146,0.8582417582417584,1.0752551361681797
0.7544498219999696,3.94,1.74,3.99,0.2018943510001918,0.1879843709998567,0.2158235279998734,3.780410030671276,1.3399626860476377,3.8324926614411146,0.8582417582417584,1.0752551361681797
0.8047728769997775,3.94,1.74,3.99,0.2522174059999997,0.2383074259996647,0.2661465829996814,3.780410030671276,1.3399626860476377,3.8324926614411146,0.8582417582417584,1.0752551361681797
0.8548689280000872,3.96,1.69,4.01,0.0143779459999677,0.0003044949999093,0.0282952540001133,3.801249794475496,1.274362585765919,3.8533102652135343,0.8218131868131868,1.057337434304825
0.9050486350001848,3.96,1.69,4.01,0.0645576530000653,0.0504842020000069,0.0784749610002109,3.801249794475496,1.274362585765919,3.8533102652135343,0.8218131868131868,1.057337434304825
0.9551903030001084,3.96,1.69,4.01,0.1146993209999891,0.1006258699999307,0.1286166290001347,3.801249794475496,1.274362585765919,3.8533102652135343,0.8218131868131868,1.057337434304825
1.005332203999842,3.96,1.69,3.98,0.0213641400000597,0.0070599129999209,0.0353003850000277,3.801249794475496,1.274362585765919,3.8220805852310336,0.8481538461538458,1.0443961538461535
1.0556445130000611,3.96,1.69,3.98,0.0716764490002788,0.05737222200014,0.0856126940002468,3.801249794475496,1.274362585765919,3.8220805852310336,0.8481538461538458,1.0443961538461535
1.106004868000127,3.96,1.69,3.98,0.122036804000345,0.1077325770002062,0.135973049000313,3.801249794475496,1.274362585765919,3.8220805852310336,0.8481538461538458,1.0443961538461535
1.1563322299998615,3.97,1.73,4.0200000000000005,0.0279267659998367,0.0136622009999882,0.0421184249998987,3.811666302288278,1.3269513932318695,3.863715828059823,0.8280219780219774,1.0605370281892026
1.206670916999883,3.97,1.73,4.0200000000000005,0.0782654529998581,0.0640008880000095,0.09245711199992,3.811666302288278,1.3269513932318695,3.863715828059823,0.8280219780219774,1.0605370281892026
1.2570132609998836,3.97,1.73,4.0200000000000005,0.1286077969998587,0.1143432320000101,0.1427994559999206,3.811666302288278,1.3269513932318695,3.863715828059823,0.8280219780219774,1.0605370281892026
1.3073462960001052,3.96,1.7,3.98,0.0351169099999424,0.0206939780000539,0.0491446680002809,3.801249794475496,1.2875946567146042,3.8220805852310336,0.8518791208791205,1.0462506927854751
1.3576529860001756,3.96,1.7,3.98,0.0854236000000128,0.0710006680001242,0.0994513580003513,3.801249794475496,1.2875946567146042,3.8220805852310336,0.8518791208791205,1.0462506927854751
1.408001977999902,3.96,1.7,4.0,0.1357725919997392,0.1213496599998507,0.0055688719999125,3.801249794475496,1.2875946567146042,3.842902548855487,0.8343406593406593,1.0548674151935018
1.4581466089998685,3.96,1.69,4.0,0.0417379199998322,0.027515970999957,0.0557135029998789,3.801249794475496,1.274362585765919,3.842902548855487,0.8306153846153845,1.0530128762541802
1.508488997999848,3.96,1.69,4.0,0.0920803089998116,0.0778583599999365,0.1060558919998584,3.801249794475496,1.274362585765919,3.842902548855487,0.8306153846153845,1.0530128762541802
1.5588239529997736,3.96,1.69,3.99,0.1424152639997373,0.1281933149998622,0.0124177439997765,3.801249794475496,1.274362585765919,3.8324926614411146,0.8393956043956043,1.0486991161012895
1.6091637419999645,3.96,1.67,3.99,0.0485047960000883,0.0345614439997916,0.0627575329999672,3.801249794475496,1.2477179168385777,3.8324926614411146,0.8320109890109892,1.0450228619206872
1.6592964460000983,3.96,1.67,3.99,0.0986375000002226,0.0846941479999259,0.1128902370001014,3.801249794475496,1.2477179168385777,3.8324926614411146,0.8320109890109892,1.0450228619206872
1.7094049190000078,3.96,1.67,4.01,0.0048026959998423,0.1348026209998352,0.0186766609999722,3.801249794475496,1.2477179168385777,3.8533102652135343,0.8144285714285716,1.0536611801242228
1.7597313790001865,3.96,1.65,4.01,0.0551291560000208,0.0414414730003045,0.0690031210001507,3.801249794475496,1.2208193969625485,3.8533102652135343,0.8071318681318683,1.0500286908743426
1.8100623889999952,3.96,1.65,4.01,0.1054601659998297,0.0917724830001134,0.1193341309999596,3.801249794475496,1.2208193969625485,3.8533102652135343,0.8071318681318683,1.0500286908743426
1.860381924000194,3.94,1.65,4.0,0.0117899860001671,0.1420920180003122,0.0256741550001606,3.780410030671276,1.2208193969625485,3.842902548855487,0.8159340659340661,1.0628780458671765
1.9105430549998343,3.94,1.72,4.0,0.0619511169998077,0.0480383789999905,0.0758352859998012,3.780410030671276,1.3138873619911258,3.842902548855487,0.841857142857143,1.0757832298136645
1.9606802190000965,3.94,1.72,4.0,0.1120882810000694,0.0981755430002522,0.1259724500000629,3.780410030671276,1.3138873619911258,3.842902548855487,0.841857142857143,1.0757832298136645
2.010791231999974,3.94,1.65,3.98,0.018231483999898,0.0048732919999565,0.0321530790001816,3.780410030671276,1.2208193969625485,3.8220805852310336,0.8334725274725274,1.0542613234591498
2.0609479879999526,3.94,1.65,3.98,0.0683882399998765,0.055030047999935,0.08230983500016,3.780410030671276,1.2208193969625485,3.8220805852310336,0.8334725274725274,1.0542613234591498
2.111260444999971,3.94,1.65,3.98,0.1187006969998947,0.1053425049999532,0.1326222920001782,3.780410030671276,1.2208193969625485,3.8220805852310336,0.8334725274725274,1.0542613234591498
2.161406552999779,3.96,1.7,3.99,0.0248685609999483,0.010939137999685,0.0389276309997512,3.801249794475496,1.2875946567146042,3.8324926614411146,0.8431208791208792,1.0505536550406114
2.2117492040001707,3.96,1.7,3.99,0.0752112120003403,0.0612817890000769,0.0892702820001432,3.801249794475496,1.2875946567146042,3.8324926614411146,0.8431208791208792,1.0505536550406114
2.2620799269998315,3.96,1.7,3.99,0.1255419350000011,0.1116125119997377,0.139601004999804,3.801249794475496,1.2875946567146042,3.8324926614411146,0.8431208791208792,1.0505536550406114
2.312422156000139,3.93,1.69,3.97,0.0319177510000372,0.0179955920002612,0.0458459200003744,3.769986737377202,1.274362585765919,3.811666302288278,0.85689010989011,1.065832250358337
2.362765275000129,3.93,1.69,3.97,0.0822608700000273,0.0683387110002513,0.0961890390003645,3.769986737377202,1.274362585765919,3.811666302288278,0.85689010989011,1.065832250358337
2.4128971079999246,3.93,1.69,3.98,0.1323927029998231,0.118470544000047,0.0025660539999989,3.769986737377202,1.274362585765919,3.8220805852310336,0.8481538461538458,1.0701244147157192
2.462992131000192,3.98,1.66,3.98,0.0385173030003898,0.0245944520002012,0.0526610770002662,3.8220805852310336,1.2343014218577242,3.8220805852310336,0.83710989010989,1.0216373148590538
2.5133162649999576,3.98,1.66,3.98,0.0888414370001555,0.074918585999967,0.102985211000032,3.8220805852310336,1.2343014218577242,3.8220805852310336,0.83710989010989,1.0216373148590538
