time,d1,d2,d3,t_uwb_1,t_uwb_2,t_uwb_3,el1,el2,el3
0.2523746350000238,4.0,1.78,3.87,0.03427395800008526,0.04859499200006212,0.020344301000022824,3.842902548855487,1.3915099712183165,3.7073980093860976
0.30277194699999654,4.0,1.78,3.87,0.08467127000005803,0.09899230400003489,0.0707416129999956,3.842902548855487,1.3915099712183165,3.7073980093860976
0.3530979129999423,4.0,1.76,3.87,0.1349972360000038,0.005237067999928513,0.12106757899994136,3.842902548855487,1.3658330791132567,3.7073980093860976
0.4034311179999577,4.01,1.76,3.85,0.04169547099991178,0.05557027299994388,0.027431435999915266,3.8533102652135343,1.3658330791132567,3.6865159703980668
0.45375491100003273,4.01,1.76,3.85,0.09201926399998683,0.10589406600001894,0.07775522899999032,3.8533102652135343,1.3658330791132567,3.6865159703980668
0.5040831940000317,4.01,1.75,3.85,0.14234754699998575,0.012286478000078205,0.12808351199998924,3.8533102652135343,1.3529227620230209,3.6865159703980668
0.554416520000018,4.03,1.75,3.86,0.04839705100005176,0.0626198040000645,0.034434410000017124,3.8741192547468133,1.3529227620230209,3.6969582091227373
0.6045586719999392,4.03,1.75,3.86,0.09853920299997299,0.11276195599998573,0.08457656199993835,3.8741192547468133,1.3529227620230209,3.6969582091227373
0.6546979830000055,3.9899999999999998,1.82,3.86,0.004881109000052675,0.01855938200003493,0.13471587300000465,3.8324926614411146,1.4423245127224318,3.6969582091227373
0.7050250239999514,3.9899999999999998,1.82,3.8400000000000003,0.05520814999999857,0.06888642299998082,0.04131937099998595,3.8324926614411146,1.4423245127224318,3.6760712724320244
0.755345287999944,3.9899999999999998,1.82,3.8400000000000003,0.10552841399999124,0.1192066869999735,0.09163963499997863,3.8324926614411146,1.4423245127224318,3.6760712724320244
0.8056800509999675,3.98,1.77,3.8400000000000003,0.011727447999987817,0.025663444999963758,0.1419743980000021,3.8220805852310336,1.378695035169127,3.6760712724320244
0.8560175159999517,3.98,1.77,3.83,0.062064912999971966,0.07600090999994791,0.04812918499999341,3.8220805852310336,1.378695035169127,3.6656240942027867
0.9063538020000124,3.98,1.77,3.83,0.11240119900003265,0.1263371960000086,0.0984654710000541,3.8220805852310336,1.378695035169127,3.6656240942027867
0.9564880179999591,3.9899999999999998,1.73,3.86,0.018805616999998165,0.03248123699995631,0.004568074999951932,3.8324926614411146,1.3269513932318697,3.6969582091227373
1.0065792970000302,3.9899999999999998,1.73,3.86,0.06889689600006932,0.08257251600002746,0.054659354000023086,3.8324926614411146,1.3269513932318697,3.6969582091227373
1.0569149140000036,3.9899999999999998,1.73,3.86,0.11923251300004267,0.13290813300000082,0.10499497099999644,3.8324926614411146,1.3269513932318697,3.6969582091227373
1.1071964699999626,4.03,1.82,3.8400000000000003,0.025324705000002723,0.03940538599999854,0.011370939000016733,3.8741192547468133,1.4423245127224318,3.6760712724320244
1.1575331860000233,4.03,1.82,3.8400000000000003,0.07566142100006346,0.08974210200005928,0.061707655000077466,3.8741192547468133,1.4423245127224318,3.6760712724320244
1.207847505000018,4.03,1.82,3.8400000000000003,0.12597574000005807,0.1400564210000539,0.11202197400007208,3.8741192547468133,1.4423245127224318,3.6760712724320244
1.258163169999989,3.98,1.83,3.87,0.03232359300000098,0.04624672499994631,0.018380081000032078,3.8220805852310336,1.454922678357857,3.7073980093860976
1.3084522069999593,3.98,1.83,3.87,0.08261262999997143,0.09653576199991676,0.06866911800000253,3.8220805852310336,1.454922678357857,3.7073980093860976
1.3588055159999612,3.98,1.75,3.87,0.13296593899997333,0.0029395779999958904,0.11902242700000443,3.8220805852310336,1.3529227620230209,3.7073980093860976
1.4091276010000229,3.98,1.75,3.85,0.03956562799999119,0.053261663000057524,0.025570950000087578,3.8220805852310336,1.3529227620230209,3.6865159703980668
1.4592719789999364,3.98,1.75,3.85,0.08971000599990475,0.10340604099997108,0.07571532800000114,3.8220805852310336,1.3529227620230209,3.6865159703980668
1.509606119999944,3.98,1.8,3.85,0.1400441469999123,0.009814201999915895,0.12604946900000868,3.8220805852310336,1.4170038814343453,3.6865159703980668
1.5599320899999611,4.0,1.8,3.86,0.04622750700002598,0.060140171999933045,0.032480810999913956,3.842902548855487,1.4170038814343453,3.6969582091227373
1.6102454370000032,4.0,1.8,3.86,0.09654085400006807,0.11045351899997513,0.08279415799995604,3.842902548855487,1.4170038814343453,3.6969582091227373
1.6605735719999757,4.01,1.76,3.86,0.002888374000008298,0.016799886999933733,0.1331222929999285,3.8533102652135343,1.3658330791132567,3.6969582091227373
1.7107903840000063,4.01,1.76,3.8400000000000003,0.053105186000038884,0.06701669899996432,0.0395689949999678,3.8533102652135343,1.3658330791132567,3.6760712724320244
1.7609940689999348,4.01,1.76,3.8400000000000003,0.10330887099996744,0.11722038399989287,0.08977267999989635,3.8533102652135343,1.3658330791132567,3.6760712724320244
1.8113156240000308,4.03,1.77,3.8400000000000003,0.009662163000029977,0.023623183000040626,0.1400942349999923,3.8741192547468133,1.378695035169127,3.6760712724320244
1.8616508759999988,4.03,1.77,3.85,0.059997414999998,0.07395843500000865,0.04621781900004862,3.8741192547468133,1.378695035169127,3.6865159703980668
1.9119820859999663,4.03,1.77,3.85,0.11032862499996554,0.12428964499997619,0.09654902900001616,3.8741192547468133,1.378695035169127,3.6865159703980668
1.9623050850000254,4.0200000000000005,1.73,3.86,0.017039233999980752,0.030895052000005307,0.0028134909999835145,3.863715828059823,1.3269513932318697,3.6969582091227373
2.012433697000006,4.0200000000000005,1.73,3.86,0.06716784599996117,0.08102366399998573,0.052942102999963936,3.863715828059823,1.3269513932318697,3.6969582091227373
2.0627106700000013,4.0200000000000005,1.73,3.86,0.11744481899995662,0.13130063699998118,0.10321907599995939,3.863715828059823,1.3269513932318697,3.6969582091227373
2.1128484079999907,4.01,1.8,3.85,0.023309946000040327,0.037261601999944105,0.009436844999981986,3.8533102652135343,1.4170038814343453,3.6865159703980668
2.162988239000015,4.01,1.8,3.85,0.07344977700006439,0.08740143299996816,0.059576676000006046,3.8533102652135343,1.4170038814343453,3.6865159703980668
2.213215014999946,4.01,1.8,3.85,0.12367655299999569,0.13762820899989947,0.10980345199993735,3.8533102652135343,1.4170038814343453,3.6865159703980668
2.2635520229999884,4.05,1.75,3.87,0.03014533099997152,0.04396528099994157,0.01580057000001034,3.8949197681081955,1.3529227620230209,3.7073980093860976
2.3138856169999826,4.05,1.75,3.87,0.08047892499996578,0.09429887499993583,0.0661341640000046,3.8949197681081955,1.3529227620230209,3.7073980093860976
2.36397235000004,4.05,1.83,3.87,0.13056565800002318,0.0006228570000530453,0.116220897000062,3.8949197681081955,1.454922678357857,3.7073980093860976
2.4143135360000088,4.04,1.83,3.83,0.036865025999986756,0.050964043000021775,0.02278873900002054,3.884520562437532,1.454922678357857,3.6656240942027867
2.4646224719999736,4.04,1.83,3.83,0.08717396199995164,0.10127297899998666,0.07309767499998543,3.884520562437532,1.454922678357857,3.6656240942027867
2.514761412999974,4.04,1.78,3.83,0.1373129029999518,0.00729562399999395,0.12323661599998559,3.884520562437532,1.3915099712183165,3.6656240942027867
2.5649211290000267,3.98,1.78,3.86,0.043649261000041406,0.05745534000004682,0.029281126999990192,3.8220805852310336,1.3915099712183165,3.6969582091227373
