candidate,alpha_x,beta_x,alpha_y,beta_y,rmse_x,rmse_y,rmse_avg_axis,rmse_euclidean,mae_avg_axis,mae_euclidean,p95_error_m
Validation-selected Kalman only,0.0,0.0,0.0,0.0,0.3534775338173638,0.4710262366484261,0.41642051013655945,0.5889075330854452,0.32810754769391687,0.5353174001199018,0.9692039694059457
Kalman + LSTM raw,1.0,0.0,1.0,0.0,0.35043654819396375,0.4725930939632032,0.41602283998105977,0.5883451425581869,0.3180613200792889,0.5325798754515997,0.9924349215335769
Kalman + LSTM scalar calibrated,0.5153061359262157,0.0,0.5153061359262157,0.0,0.3442916142441166,0.4717333159928174,0.4129582527667894,0.5840111617566902,0.3208807284765106,0.529228204749916,0.9761833618274589
Kalman + LSTM per-axis calibrated,0.5503757247232297,0.0,-1.4378217404987315,0.0,0.34425366422452985,0.4701883139800008,0.41206045426330984,0.5827414829367918,0.3195062804631147,0.5303465668195654,0.9829499186231225
Kalman + LSTM affine calibrated,2.7830104534748763,0.3807319545904737,2.6250428796667777,0.17407029304889118,0.28188502431350687,0.4439299257581115,0.37184199999181683,0.5258639994483638,0.2829669074219209,0.4699656410662358,0.8543737262949876
