split,model,rmse_x,rmse_y,rmse_avg_axis,rmse_euclidean,mae_avg_axis,mae_euclidean,p95_error_m
train,Kalman Filter,0.624348047681304,0.48880548037609367,0.560687650251528,0.7929320792408134,0.40827764478309436,0.6653761370977178,1.4937441433233156
train,Kalman + LSTM raw,0.6347682450351736,0.4944621737582926,0.568956749754678,0.8046263519067779,0.4048882640989623,0.6697026003936921,1.485904999855583
train,Kalman + LSTM affine calibrated,0.6197000777640621,0.4645003578750488,0.5476261356285104,0.7744603081158085,0.39569975203939667,0.6571706443798606,1.3927239505554514
val,Kalman Filter,0.3534775338173638,0.4710262366484261,0.41642051013655934,0.5889075330854452,0.328107547693916,0.5353174001199018,0.9692039694059457
val,Kalman + LSTM raw,0.35043654819396375,0.4725930939632032,0.41602283998105977,0.5883451425581869,0.3180613200792889,0.5325798754515997,0.9924349215335769
val,Kalman + LSTM affine calibrated,0.28188502431350687,0.4439299257581115,0.37184199999181683,0.5258639994483638,0.2829669074219209,0.4699656410662358,0.8543737262949876
test,Kalman Filter,0.30092116735179203,0.9486218782359485,0.7037176340082234,0.9952070220955356,0.5122693803907881,0.8788608867379594,1.8459966385805284
test,Kalman + LSTM raw,0.31343852983559173,0.9706304466987846,0.7212375392490948,1.0199839096986674,0.5227529491099883,0.9116452399483448,1.8685741712113737
test,Kalman + LSTM affine calibrated,0.34608674232704506,0.8598365557514925,0.6553987091157324,0.9268737431932875,0.5116432316412645,0.8139284700217634,1.77884193031888
train,Improvement vs KF - Kalman + LSTM raw (%),-1.6689725214274254,-1.157248355285745,-1.4748139181307907,-1.474813918130421,0.8301656305313404,-0.6502282024789409,0.5247982730356893
train,Improvement vs KF - Kalman + LSTM affine calibrated (%),0.744451742021697,4.972350654158826,2.329552758502556,2.329552758502422,3.080720412791631,1.2332111508609953,6.762884609081193
val,Improvement vs KF - Kalman + LSTM raw (%),0.8603052054140671,-0.3326475667100956,0.09549725477478616,0.09549725477474287,3.0618703182040132,0.5113834647797678,-2.3969105431821762
val,Improvement vs KF - Kalman + LSTM affine calibrated (%),20.253765134857943,5.752611804199612,10.70516678684333,10.705166786843314,13.757879265278522,12.20803938729217,11.847892366901979
test,Improvement vs KF - Kalman + LSTM raw (%),-4.1596816182645835,-2.3200570182677174,-2.489621460966076,-2.48962146096607,-2.0464952855864116,-3.7303233885023697,-1.2230538322218276
test,Improvement vs KF - Kalman + LSTM affine calibrated (%),-15.009105332378361,9.359400676016515,6.8662376154021985,6.86623761540223,0.12223036814067263,7.388247411624338,3.6378564759081424
