loss,mae,val_loss,val_mae,learning_rate
0.05893486738204956,0.24194617569446564,0.48148679733276367,0.8567018508911133,0.0010000000474974513
0.060142096132040024,0.2550729811191559,0.34784579277038574,0.6913312077522278,0.0010000000474974513
0.0593850314617157,0.2576460540294647,0.3817416727542877,0.7192516922950745,0.0010000000474974513
0.1207609549164772,0.3611965775489807,0.443175345659256,0.7942736148834229,0.0010000000474974513
0.06889467686414719,0.2759973704814911,0.38652974367141724,0.7208968997001648,0.0010000000474974513
0.09889332205057144,0.31996700167655945,0.339277982711792,0.6464393138885498,0.0010000000474974513
0.08509798347949982,0.3081331253051758,0.31479978561401367,0.6416316628456116,0.0010000000474974513
0.12068674713373184,0.34926697611808777,0.4617762267589569,0.7980151176452637,0.0010000000474974513
0.0834658220410347,0.30614572763442993,0.4144914150238037,0.7682166695594788,0.0010000000474974513
0.09579165279865265,0.3322151303291321,0.3834174573421478,0.7131742238998413,0.0010000000474974513
0.10677678138017654,0.34648561477661133,0.3144982159137726,0.640587329864502,0.0010000000474974513
0.10460320860147476,0.3381657898426056,0.3370089530944824,0.6751545667648315,0.0010000000474974513
0.14001603424549103,0.39429765939712524,0.3661637306213379,0.7024965882301331,0.0010000000474974513
0.12139172852039337,0.35740068554878235,0.3321060538291931,0.6717274188995361,0.0010000000474974513
0.10116222500801086,0.34842371940612793,0.36552801728248596,0.6907877922058105,0.0010000000474974513
0.10455696284770966,0.3413461744785309,0.39677107334136963,0.7372958064079285,0.0010000000474974513
0.14800521731376648,0.3874937891960144,0.6231382489204407,1.0101208686828613,0.0010000000474974513
0.1557827889919281,0.41123440861701965,0.48093515634536743,0.8527071475982666,0.0010000000474974513
0.2304912507534027,0.516075849533081,0.685657799243927,1.050897479057312,0.0005000000237487257
0.1996312290430069,0.48135069012641907,0.6554254293441772,1.0702589750289917,0.0005000000237487257
0.220422625541687,0.5200505256652832,0.7430219650268555,1.1386594772338867,0.0005000000237487257
0.2178332507610321,0.5082247257232666,0.6858121752738953,1.0396515130996704,0.0005000000237487257
0.22660216689109802,0.5143612027168274,0.8842485547065735,1.301266074180603,0.0005000000237487257
0.23773609101772308,0.5269956588745117,0.7385300397872925,1.1181939840316772,0.0005000000237487257
0.23289351165294647,0.5248926877975464,0.6719642877578735,1.0609421730041504,0.0005000000237487257
0.24651756882667542,0.5585719347000122,0.7662994265556335,1.1942163705825806,0.0002500000118743628
0.25369641184806824,0.5629770159721375,0.792251467704773,1.1769436597824097,0.0002500000118743628
0.22260303795337677,0.5293976068496704,0.7982945442199707,1.1977205276489258,0.0002500000118743628
0.24207665026187897,0.5510030388832092,0.8794242143630981,1.2880619764328003,0.0002500000118743628
0.23754920065402985,0.5419357419013977,0.8687413930892944,1.267468810081482,0.0002500000118743628
0.23226477205753326,0.531183123588562,0.8026264905929565,1.194376826286316,0.0002500000118743628
